narrator_id,grade,death_reason,places_of_stay,name_en,name_ar
4009,Companion (RA),Martyred,Medina,Wahb bin Qabous al-Mazni,وهب بن قابوس المزني
4010,Companion (RA),Martyred,Medina,al-Harith bin 'Uqba al-Mazni,الحارث بن عقبة بن قابوس المزني
4011,Companion (RA) [1st Generation],Natural,"Makkah, Medina",Amr bin Umayya al-Damri,عمرو بن أمية الضمري
4012,Companion (RA),Natural,"Makkah, Medina",Bakr bin Umayya al-Damri,بكر بن أمية الضمري
4013,Companion (RA),Natural,Medina,Umm Tariq client of Sa'd,أم طارق مولاة سعد
4014,Companion (RA) [1st Generation],Natural,Medina,Umm Farwa,أم فروة
4015,Companion (RA) [1st Generation],Natural,"Makkah, Medina",Maymuna bin Kardam,ميمونة بنت كردم الثقفية
4016,Companion (RA),Natural,"Makkah, Medina",Kardam bin Sufyan al-Thaqafi,كردم بن سفيان الثقفى
4017,Companion (RA),Natural,"Medina, Kufa",Kardam bin Abi al-Sa'ib,كردم بن أبى السائب الأنصاري
4018,Companion (RA) [1st Generation],Natural,Medina,Umm al-Husayn al-Ahmasiyya,أم الحصين الأحمسية
4019,Companion (RA),Natural,Medina,Husayn bin Umm al-Husayn,حصين بن أم الحصين الأحمسية
4020,Companion (RA) [1st Generation],Natural,"Makkah, Medina",Umm Jundab Azdiyya,أم جندب الأزدية
4021,Companion (RA) [1st Generation],Natural,"Makkah, Medina",Amr bin al-Ahwas al-Azdi,عمرو بن الأحوص الأزدي
4022,Companion (RA),Natural,"Makkah, Medina",Abdullah bin 'Amr bin al-Ahwas al-Azdi,عبد الله بن عمرو بن الأحوص الأزدي
4023,Companion (RA),Natural,Medina,Umm al-Sa'ib,أم السائب/أم المسيب الأنصارية
4024,Companion (RA) [1st Generation],Natural,Medina,Buhaysa al-Fazariyya,بهيسة الفزارية
4025,Companion (RA) [1st Generation],Natural,Medina,Salama bint al-Hurr al-Fazariyya,سلامة بنت الحر الفزارية
4026,Companion (RA) [1st Generation],Natural,"Medina, Kufa",Kharsha bin  al-Hurr al-Fazari,خرشة بن الحر الفزاري
4027,Companion (RA) [1st Generation],Natural,"Makkah, Medina",Basira/Yasira,بسيرة/يسيرة
4028,Companion (RA) [1st Generation],Natural,Medina,Sarra' bint Nabhan al-Ghanawiyya,سراء بنت نبهان الغنوية
4029,Companion (RA) [1st Generation],Natural,Medina,"Qayla, Umm Bani Anmar",قيلة أم بني أنمار
4030,Companion (RA) [1st Generation],Natural,"Makkah, Medina",Qayla bint Makhrama al-Tamimiyya,قيلة بنت مخرمة التميمية
4031,Companion (RA),Natural,Medina,The Aunt of al-'Aas bin 'Amr,عمة العاص بن عمرو الطفاري
4032,Companion (RA),Natural,Medina,Rifa'a bin Samw'al al-Qarzi,رفاعة بن سموأل القرظي
4033,Companion (RA) [1st Generation],Natural,Medina,Abdur Rahman bin al-Zubayr al-Qarzi,عبد الرحمن بن الزبير القرظي
4034,Companion (RA) [6th generation],Natural,Medina,al-Zubayr bin 'Abdur Rahman al-Qarzi,الزبير بن عبد الرحمن بن الزبير القرظي
4035,Companion (RA),Natural,Medina,al-Kilabiyya,الكلابية - فاطمة بنت الضحاك
4036,Companion (RA),Natural,Medina,Asma' bin al-Nu'man,أسماء بنت النعمان
4037,Companion (RA),Natural,Medina,Mulayka bint Ka'b al-Laythi,مليكة بنت كعب
4038,Companion (RA),Natural,Medina,The daughter of Jundab bin Damra,بنت جندب بن ضمرة
4039,Companion (RA),Natural,Medina,Saba/Sana bint al-Salt bin Habib,سبا / سنا بنت الصلت
4040,Companion (RA),Natural,Medina,Safiyya bint Bashama bin Nadla,صفية بنت بشامة
4041,Companion (RA),Natural,Medina,Khawla bint la-Hudhayl,خولة بنت الهذيل
4042,Companion (RA),Natural,Medina,Sharaf bint Khalifa,شراف بنت خليفة
4043,Companion (RA),Natural,"Makkah, Medina",Duba'a bint 'Amr bin Qurat,ضباعة بنت عامر
4044,Companion (RA) [1st Generation],Natural,"Medina, Makkah",Abu Waqid al-Laithi,أبو واقد الليثي
4045,Companion (RA),Natural,Medina,"al-Nabghat-ul Ja'di, the Poet",النابغة الجعدي
4046,Companion (RA) [1st Generation],Natural,"Medina, Makkah, Kufa",Abdur Rahman bin Abza,عبد الرحمن بن أبزى
4047,Companion (RA) [1st Generation],Natural,"Medina, Kufa",Abu Juhayfa al-Sawai',أبو جحيفة السوائي
4048,Companion (RA) [1st Generation],Natural,"Medina, Egypt, Hims, Syria",Abu Umama al-Bahili,أبو أمامة الباهلي
4049,Companion (RA) [1st Generation],Natural,"Medina, Syria",Wathla bin al-'Asqa',واثلة بن الأسقع
4050,Companion (RA) [1st Generation],Natural,"Medina, Egypt",Abdullah bin al-Harith al-Zubaidi,عبد الله بن الحارث بن جزء الزبيدي
4051,Companion (RA) [1st Generation],Natural,"Medina, Basra",Abu Rafa'a al-'Advi,أبو رفاعة العدوي تميم
4052,Companion (RA) [1st Generation],Natural,Medina,"Ka'b bin 'Ajra al-Salmi, al-Ansari",كعب بن عجرة الأنصاري
4053,Companion (RA) [1st Generation],Natural,"Medina, Kufa, Basra",Jundab bin 'Abdullah al-Bajli,جندب بن عبد الله بن سفيان البجلي
4054,Companion (RA),Natural,"Medina, Syria",Abu al-Ghadiyya al-Jhani,أبو الغادية الجهني
4055,Companion (RA),Martyred,"Medina, Bahrain",Safwan bin Mu'ttal al-Salami,صفوان بن المعطل
4056,Companion (RA) [1st Generation],Natural,"Medina, Syria",Abu Tha'laba al-Khushni,أبو ثعلبة الخشني
4057,Companion (RA) [1st Generation],Natural,"Medina, Kufa",Jarir bin 'Abdullah al-Bajli,جرير بن عبد الله البجلي
4058,Companion (RA) [1st Generation],Natural,"Medina, Syria, Hims",Ka'b al-Ahbar,"كعب الأحبار ,كعب بن ماتع الحميري"
4059,Companion (RA) [1st Generation],Natural,Medina,Abu Buhaysa al-Fazari,أبو بهيسة الفزاري
4060,Companion (RA) [1st Generation],Natural,"Hijaz, Medina, Kufa",Hanzala bin al-Rabi' al-Usaydi,حنظلة بن الربيع الكاتب
4061,Companion (RA) [1st Generation],Natural,"Hijaz, Medina, Kufa",Rabah bin al-Rabi' al-Usaydi,رباح/رياح بن الربيع
4062,Companion (RA) [1st Generation],Natural,"Medina,  Egypt",Ubayy bin 'Umara,أبي بن عمارة
4063,Companion (RA) [1st Generation],Natural,"Yemen,  Medina",Abaydh bin Hammal,أبيض بن حمال المأربي
4064,Companion (RA) [1st Generation],Natural,"Hijaz, Basra",Ahmar bin Jaz' al-Sudoosi,أحمر بن جزء
4065,Companion (RA) [1st Generation],Natural,,al-Adra' al-Salmi,الأدرع السلمي
4066,Companion (RA) [1st Generation],Natural,"Hijaz, Basra",Usamah bin Akhdri al-Tamimi,أسامة بن أخدري
4067,Companion (RA) [1st Generation],Natural,"Hijaz, Basra",Asmar bin Mudras,أسمر بن مضرس
4068,Companion (RA) [1st Generation],Natural,"Hijaz, Kufa",Urwa bin Mudras,عروة بن مضرس
4069,Companion (RA) [1st Generation],Natural,"Hijaz, Basra",al-Aswad bin Sari',الأسود بن سريع
4070,Companion (RA) [1st Generation],Natural,,Usayd bin Safwan,أسيد بن صفوان
4071,Companion (RA) [1st Generation],Natural,Hijaz,al-Aghar bin Yasar,الأغر بن يسار المزني
4072,Companion (RA) [1st Generation],Natural,Hijaz,al-Aghar al-Ghaffari,الأغر الغفاري
4073,Companion (RA) [1st Generation],Natural,Medina,Umayyah bin Mukhshi,أمية بن مخشي الخزاعي
4074,Companion (RA) [1st Generation],Natural,"Hijaz, Basra",Anas bin Malik al-Kabi al-Qushayri,أنس بن مالك الكعبي القشيري
4075,Companion (RA) [1st Generation],Natural,"Hijaz, Kufa",Ahban bin Aus al-Aslami,أهبان بن أوس الأسلمى
4076,Companion (RA) [1st Generation],Natural,"Hijaz, Basra",Ahban bin Sayfi al-Ghaffari,أهبان بن صيفي
4077,Companion (RA) [1st Generation],Natural,"Hijaz, Basra",Ahban al-Ghaffari,أهبان الغفاري
4078,Companion (RA) [1st Generation],Natural,Hijaz,Iyas bin 'Abd al-Mazni,إياس بن عبد المزني
4079,Companion (RA) [1st Generation],Natural,"Makkah, Medina, Syria",Basr bin Artah,بسر بن أرطاة
4080,Companion (RA) [1st Generation],Natural,"Makkah, Medina, Syria, HIms, Iraq",Basr bin Jahash,بسر بن جحاش
4081,Companion (RA) [1st Generation],Natural,Hijaz,Bashr bin Sahaym,بشر بن سحيم
4082,Companion (RA) [1st Generation],Natural,"Hijaz, Basra",Basheer bin Ma'bad/al-Khasasiyya,بشير بن معبد/ الخصاصية
4083,Companion (RA) [1st Generation],Natural,"Hijaz, Basra",Layla/al-Juhdama,الجهدمة /ليلى السدوسية امرأة بشير
4084,Companion (RA) [1st Generation],Natural,Hijaz,Basheer al-Harithi al-Ka'bi,بشير الحارثي الكعبي
4085,Companion (RA) [1st Generation],Natural,Hijaz,Basra bin AKthum al-Ansari,بصرة بن أكثم الأنصاري / الخزاعي
4086,Companion (RA) [1st Generation],Natural,"Hijaz,  Egypt",Basra bin Abi Basra,بصرة بن أبي بصرة الغفاري
4087,Companion (RA) [1st Generation],Natural,"Hijaz,  Egypt",Hamil/Jamil bin Basra,حميل بن بصرة أبو بصرة الغفاري
4088,Companion (RA),Natural,"Hijaz,  Egypt",Jamil bin Basra bin Abi Basra,جميل بن بصرة بن أبي بصرة الغفاري
4089,Companion (RA) [1st Generation],Natural,Medina,Bakr bin Mubbashr bin Jabir,بكر بن مبشر
4090,Companion (RA) [1st Generation],Natural,Hijaz,Banna al-Juhayni,بنة الجهني
4091,Companion (RA) [1st Generation],Natural,"Medina, Basra",Bilal bin al-Harith al-Mazni,بلال بن الحارث المزني
4092,Companion (RA) [1st Generation],Natural,Hijaz,Basr bin Abi Basr al-Maazni,بسر بن أبي بسر المازني
4093,Companion (RA) [1st Generation],Natural,"Hijaz, Basra",al-Talb bin Tha'laba al-Tamimi,التلب بن ثعلبة بن ربيعة التميمي
4094,Companion (RA) [1st Generation],Natural,"Hijaz, Basra",Abu Jari,أبو جري الهجيمي
4095,Companion (RA) [1st Generation],Natural,"Hijaz, Kufa",Jariya bin Zafar,جارية بن ظفر
4096,Companion (RA) [1st Generation],Natural,"Hijaz, Basra",Jariya bin Qadama,جارية بن قدامة التميمي
4097,Companion (RA) [1st Generation],Natural,"Hijaz, Syria",Jubayr bin Nufayr al-Hadrami,جبير بن نفير الحضرمي
4098,Companion (RA),Natural,"Hijaz, Syria",Nufayr bin Malik al-Hadrami,نفير بن مالك بن عامر الحضرمي
4099,Companion (RA) [1st Generation],Natural,Hijaz,al-Jarah bin Abi al-Jarah,الجراح بن أبي الجراح الأشجعي
4100,Companion (RA) [1st Generation],Natural,"Hijaz, Syria",Jandara bin Khushayna,جندرة بن خيشنة الكناني
4101,Companion (RA) [1st Generation],Natural,"Hijaz, Basra",al-Harith bin Aqysh,الحارث بن أقيش
4102,Companion (RA) [1st Generation],Natural,"Hijaz, Syria",al-Harith bin al-Harith al-'Ash'ry,الحارث بن الحارث الأشعري
4103,Companion (RA) [1st Generation],Natural,"Hijaz, Kufa",al-Harith bin Hasan,الحارث بن حسان البكري
4104,Companion (RA) [1st Generation],Natural,"Hijaz, Kufa",al-Harith bin Ziyad Shamy,الحارث بن زياد الساعدي
4105,Companion (RA) [1st Generation],Natural,"Hijaz, Basra",al-Harith bin 'Amr bin al-Harith,الحارث بن عمرو بن الحارث
4106,Companion (RA) [1st Generation],Natural,Medina,al-Harith bin 'Amr al-Ansari,الحارث بن عمرو الأنصاري
4107,Companion (RA) [1st Generation],Natural,Hijaz,al-Harith bin Malik bin Qays,الحارث بن مالك بن قيس الليثي
4108,Companion (RA) [3rd Generation],Natural,Medina,al-Harith bin Mukhlad al-Zurqi,الحارث بن مخلد الزرقي
4109,Companion (RA) [1st Generation],Natural,"Hijaz, Kufa",Harithh bin Wahb al-Khza'y,حارثة بن وهب الخزاعي
4110,Companion (RA) [1st Generation],Natural,Medina,Hazim bin Hrmlh al-Ghfary,حازم بن حرملة
4111,Companion (RA) [1st Generation],Natural,Hims,Hiban bin Zayd al-Shr'by,حبان بن زيد الشرعبي  أبو خداش
4112,Companion (RA) [1st Generation],Natural,"Hijaz, Kufa",Habshi bin Junada al-Sululy,حبشي بن جنادة السلولي
4113,Companion (RA) [1st Generation],Natural,Hijaz,al-Hajjaj bin Malik al-Aslami,حجاج بن مالك الأسلمي
4114,Companion (RA) [1st Generation],Natural,"Hijaz, Kufa",Hdhyfh bin Asyd,حذيفة بن أسيد
4115,Companion (RA) [1st Generation],Natural,Hijaz,Hudhaym bin 'Amr al-Sa'di,حذيم بن عمرو السعدي
4116,Companion (RA) [1st Generation],Natural,"Hijaz, Basra",Harmala bin 'Abdullah,حرملة بن عبد الله/حرملة بن إياس
4117,Companion (RA) [1st Generation],Natural,Medina,Hazm bin Abi Ka'b al-Ansari,حزم بن أبي كعب الأنصاري
4118,Companion (RA) [1st Generation],Natural,Hijaz,Husain bin Aus,حصين بن أوس
4119,Companion (RA) [1st Generation],Natural,Hijaz,Husayn bin 'Awf al-Khth'my al-Madni,حصين بن عوف
4120,Companion (RA) [1st Generation],Natural,Hijaz,Husayn bin Muhsin,حصين بن محصن
4121,Companion (RA) [1st Generation],Natural,,al-Hakam bin Hazn al-Kulfi,الحكم بن حزن الكلفي
4122,Companion (RA) [1st Generation],Natural,Hijaz,al-Hakam bin Sufyan,الحكم بن سفيان
4123,Companion (RA) [1st Generation],Natural,Hijaz,Hamza bin 'Amr al-Aslami,حمزة بن عمرو
4124,Companion (RA) [1st Generation],Natural,"Hijaz, Basra",Hamal bin Malik bin al-Nabghah,حمل بن مالك بن النابغة الهذلي
4125,Companion (RA) [1st Generation],Natural,"Hijaz, Kufa",Khadash bin Salama,خداش بن سلامة
4127,Companion (RA) [1st Generation],Natural,"Hijaz, Kufa",Khuraym bin Fatik,خريم بن فاتك الأسدي
4128,Companion (RA),Natural,"Hijaz, Syria",Samra/Sabra bin Fatik,سمرة /سبرة بن فاتك الأسدي
4129,Companion (RA) [1st Generation],Natural,"Hijaz, Syria",Aymen bin Khuraym bin Fatik,أيمن بن خريم بن فاتك الأسدي
4130,Companion (RA) [1st Generation],Natural,"Hijaz, Basra",Khuzayma bin Jaz',خزيمة بن جزء
4131,Companion (RA) [3rd Generation],Natural,"Hijaz, Basra",Hibban bin Jaz',حبان بن جزء السلمي
4132,Companion (RA) [1st Generation],Natural,"Hijaz, Basra",al-Khashkhash,الخشخاش بن الحارث العنبري
4133,Companion (RA) [1st Generation],Natural,"Hijaz, Kufa",Tha'lba bin al-Hakam,ثعلبة بن الحكم الليثي
4134,Companion (RA) [1st Generation],Natural,,Tha'lbah al-Nbry Qyl,ثعلبة العنبري
4135,Companion (RA) [1st Generation],Natural,"Hijaz, Kufa",Jabir bin Tariq,جابر بن طارق
4136,Companion (RA) [1st Generation],Natural,Medina,Jabir bin 'Umayr al-Ansari,جابر بن عمير
4137,Companion (RA) [1st Generation],Natural,"Hijaz, Iran",al-Jarud,الجارود العبدي
4138,Companion (RA) [1st Generation],Natural,Medina,Jarhad bin Razah,جرهد بن رزاح
4139,Companion (RA) [1st Generation],Natural,,Habs al-Tmymy,حابس التميمي
4140,Companion (RA),Natural,Medina,Abu al-Hasan,يسار والد الحسن
4141,Companion (RA),Natural,Kufa,al-Muntashir bin al-Ajda',المنتشر بن الأجدع الهمداني
4142,Companion (RA),Natural,Kufa,al-Mundhir bin al-Ajda',المنذر بن الأجدع الهمداني
4143,Companion (RA) [1st Generation],Natural,"Medina, Kufa",Safwan bin 'Assal,صفوان بن عسال
4145,Companion (RA) [2nd Generation],Natural,"Medina, Kufa",Abdullah bin 'Utba,عبد الله بن عتبة بن مسعود الهذلي
4149,Companion (RA),Natural,"Medina, Kufa",al-Aswad bin Tha'laba al-Yarbu'i,الأسود بن ثعلبة اليربوعي
4150,Companion (RA),Natural,Makkah,Umm Zufar al-Habshiyyia al-Suda',أم زفر الحبشية السوداء
4200,Companion (RA),Natural,Hijaz,Ibrahim bin Jabir,إبراهيم بن جابر
4201,Companion (RA),Natural,Hijaz,Ibrahim al-Njar,إبراهيم النجار
4202,Companion (RA),Natural,Hijaz,Ibrahim al-'Ashhly,إبراهيم الأشهلي
4203,Companion (RA),Natural,Hijaz,Ishaq al-Ghnwy,إسحاق الغنوي
4204,Companion (RA),Natural,Hijaz,Ishaq no identity,إسحاق غير منسوب
4205,Companion (RA),Natural,Medina,Iyas bin Wdqh al-Ansari,إياس بن ودقة الأنصاري
4206,Companion (RA),Natural,Hijaz,Iyas no identity,إياس غير منسوب
4207,Companion (RA),Natural,Hijaz,Tamim bin Wrqa'a al-Khth'my,تميم بن ورقاء الخثعمي
4208,Companion (RA),Natural,Hijaz,Tlyd bin Klab al-Lythy,تليد بن كلاب الليثي
4209,Companion (RA),Natural,Hijaz,Tamim bin Asad al-Khza'y,تميم بن أسد الخزاعي
4210,Companion (RA),Natural,Hijaz,Tamim no identity,تميم غير منسوب
4211,Companion (RA),Natural,Hijaz,Thabit bin Abi 'Asim,ثابت بن أبي عاصم
4212,Companion (RA),Natural,Hijaz,Th'albah bin Hatb,ثعلبة بن حاطب
4213,Companion (RA),Natural,Medina,Th'albah bin Zayd al-Ansari,ثعلبة بن زيد الأنصاري
4214,Companion (RA),Natural,Hijaz,Th'albah no identity,ثعلبة غير منسوب
4215,Companion (RA),Natural,Hijaz,Thqaf bin 'Amr al-Dwany,ثقاف بن عمرو العدواني
4216,Companion (RA),Natural,Hijaz,Thwr bin Malik al-Kndy,ثور بن مالك الكندي
4217,Companion (RA),Natural,Hijaz,Thabit bin Mas'ud,ثابت بن مسعود
4218,Companion (RA),Natural,Hijaz,Th'albah bin al-Jdh',ثعلبة بن الجذع
4219,Companion (RA),Natural,Hijaz,Th'albah bin M'an bin Mhsn,ثعلبة بن معن بن محصن
4220,Companion (RA),Natural,Hijaz,Jaban Wald Maymun,جابان والد ميمون
4221,Companion (RA),Natural,Hijaz,Jabir bin 'Abdullah,جابر بن عبد الله
4222,Companion (RA),Natural,Hijaz,Jabir bin Awf al-Thqfy,جابر بن عوف الثقفي
4223,Companion (RA),Natural,Hijaz,Jabir bin Majd al-Sdfy,جابر بن ماجد الصدفي
4224,Companion (RA),Natural,Hijaz,Jahl Abu Muslim al-Sdfy,جاحل أبو مسلم الصدفي
4225,Companion (RA),Natural,Hijaz,jabbar al-Th'lby,جبار الثعلبي
4226,Companion (RA),Natural,Hijaz,Jbr bin Anas bin Abi Zryq,جبر بن أنس بن أبي زريق
4227,Companion (RA),Natural,Hijaz,Jbr no identity,جبر غير منسوب
4228,Companion (RA),Natural,Hijaz,Jlbh bin al-Azrq al-Hmsy,جلبة بن الأزرق الحمصي
4229,Companion (RA),Natural,Hijaz,Jblh no identity,جبلة غير منسوب
4230,Companion (RA),Natural,Hijaz,Jhdm no identity,جحدم غير منسوب
4231,Companion (RA),Natural,Hijaz,Jhdm al-Jdhymy,جحدم الجذيمي
4232,Companion (RA),Natural,Hijaz,Jdymh bin 'Amr al-Sry,جديمة بن عمرو العصري
4233,Companion (RA),Natural,Hijaz,Jrad bin Abs Adad'h,جراد بن عبس عداده
4234,Companion (RA),Natural,Hijaz,Jrw bin Malik bin 'Amr,جرو بن مالك بن عمرو
4235,Companion (RA),Natural,Hijaz,Jryj al-Isra'iyly,جريج الإسرائيلي
4236,Companion (RA),Natural,Hijaz,Jz'a bin Anas al-Slmy,جزء بن أنس السلمي
4237,Companion (RA),Natural,Hijaz,Jz'a bin S'hyl al-Slmy Ja'a,جزء بن سهيل السلمي جاء
4238,Companion (RA),Natural,Hijaz,Jz'a no identity,جزء غير منسوب
4239,Companion (RA),Natural,Hijaz,J'd'h bin Han'i al-Hdrmy,جعدة بن هانئ الحضرمي
4240,Companion (RA),Natural,Hijaz,J'd'h no identity,جعدة غير منسوب
4241,Companion (RA),Natural,Hijaz,J'wnh bin Ziyad al-Shny,جعونة بن زياد الشني
4254,Companion (RA),Natural,Hijaz,Jhm no identity,جهم غير منسوب
4255,Companion (RA),Natural,Hijaz,Jwyryh al-Sry,جويرية العصري
4256,Companion (RA),Natural,Hijaz,Jrwh bin Yazid al-Ta'iy,جروة بن يزيد الطائي
4257,Companion (RA),Natural,Hijaz,Jmrh bin Shhab Mkhdrm,جمرة بن شهاب مخضرم
4258,Companion (RA),Natural,Hijaz,Jndb bin Slma al-Mdljy,جندب بن سلمى المدلجي
4259,Companion (RA),Natural,Hijaz,Jndl al-Jly Mkhdrm,جندل العجلي مخضرم
4260,Companion (RA),Natural,Hijaz,Jhmh bin Awf al-Dwsy,جهمة بن عوف الدوسي
4261,Companion (RA),Natural,Hijaz,Jabir bin al-N'man,جابر بن النعمان
4262,Companion (RA),Natural,Hijaz,Jbr no identity,جبر غير منسوب
4263,Companion (RA),Natural,Hijaz,Jdhyh no identity,جذية غير منسوب
4264,Companion (RA),Natural,Hijaz,Ja'far bin Nstwr al-Rwmy,جعفر بن نسطور الرومي
4265,Companion (RA),Natural,Hijaz,Jndb Abu Najyh,جندب أبو ناجية
4266,Companion (RA),Natural,Hijaz,Habs bin Dghnh al-Klby,حابس بن دغنة الكلبي
4267,Companion (RA),Natural,Hijaz,Habs bin S'ad al-Ymany,حابس بن سعد اليماني
4268,Companion (RA),Natural,Hijaz,Hazm bin Hram al-Jdhamy,حازم بن حرام الجذامي
4269,Companion (RA),Natural,Hijaz,Hazm no identity,حازم غير منسوب
4270,Companion (RA),Natural,Hijaz,Hamd al-Sa'idy,حامد الصائدي
4271,Companion (RA),Natural,Hijaz,Hban bin al-Hakam al-Slmy,حبان بن الحكم السلمي
4272,Companion (RA),Natural,Medina,Habib bin Aslm al-Ansari,حبيب بن أسلم الأنصاري
4273,Companion (RA),Natural,Hijaz,Habib bin Khrash al-Sry,حبيب بن خراش العصري
4274,Companion (RA),Natural,Hijaz,Habib bin Zayd al-Kndy,حبيب بن زيد الكندي
4275,Companion (RA),Natural,Hijaz,Habib bin Mkhnf al-Ghamdy,حبيب بن مخنف الغامدي
4276,Companion (RA),Natural,Hijaz,Habib bin Abi Mrdyh,حبيب بن أبي مرضية
4277,Companion (RA),Natural,Hijaz,Habib al-Kla'y Abu Dmrh,حبيب الكلاعي أبو ضمرة
4278,Companion (RA),Natural,Hijaz,Hbysh bin Y'la bin Umayya,حبيش بن يعلى بن أمية
4279,Companion (RA),Natural,Hijaz,Hdhym bin al-Harith bin Aqrm,حذيم بن الحارث بن أقرم
4280,Companion (RA),Natural,Hijaz,Hrb no identity,حرب غير منسوب
4281,Companion (RA),Natural,Medina,Hrmlh bin Zayd al-Ansari,حرملة بن زيد الأنصاري
4282,Companion (RA),Natural,Hijaz,Hrmlh bin Slma,حرملة بن سلمى
4283,Companion (RA),Natural,Hijaz,Hrmlh bin Mryth al-Tymy,حرملة بن مريطة التيمي
4284,Companion (RA),Natural,Hijaz,Hrmlh bin al-N'man,حرملة بن النعمان
4285,Companion (RA),Natural,Hijaz,Hzabh al-Slmy Abu Qtn,حزابة السلمي أبو قطن
4286,Companion (RA),Natural,Hijaz,Hzam Bksr Awlh bin Awf,حزام بكسر أوله بن عوف
4287,Companion (RA),Natural,Hijaz,Hzam no identity,حزام غير منسوب
4288,Companion (RA),Natural,Hijaz,Husayn bin Jndb Abu Jndb,حصين بن جندب أبو جندب
4289,Companion (RA),Natural,Hijaz,Husayn bin Abi al-Hr,حصين بن أبي الحر
4290,Companion (RA),Natural,Hijaz,Husayn bin Ndlh al-'Asady,حصين بن نضلة الأسدي
4291,Companion (RA),Natural,Medina,Husayn bin Nmyr al-Ansari,حصين بن نمير الأنصاري
4292,Companion (RA),Natural,Hijaz,Husayn bin Y'mr al-Bsy,حصين بن يعمر العبسي
4293,Companion (RA),Natural,Hijaz,Htan al-Tamimy al-Yrbw'y,حطان التميمي اليربوعي
4294,Companion (RA),Natural,Hijaz,Hkym Wald Mua'wiya,حكيم والد معاوية
4295,Companion (RA),Natural,Hijaz,Hkym al-'Ash'ry La A'rf,حكيم الأشعري لا أعرف
4296,Companion (RA),Natural,Hijaz,Hmas no identity,حماس غير منسوب
4297,Companion (RA),Natural,Hijaz,Hmam bin 'Umar al-'Aslmy,حمام بن عمر الأسلمي
4298,Companion (RA),Natural,Hijaz,Hamza bin Abi Asyd,حمزة بن أبي أسيد
4299,Companion (RA),Natural,Hijaz,Hmnn bin Abd Awf bin Awf,حمنن بن عبد عوف بن عوف
4300,Companion (RA),Natural,Medina,Hameed al-Ansari Yqal,حميد الأنصاري يقال
4301,Companion (RA),Natural,Hijaz,Hnzlh bin 'Amr al-'Aslmy,حنظلة بن عمرو الأسلمي
4302,Companion (RA),Natural,Hijaz,Hnzlh al-'Abbashmy,حنظلة العبشمي
4303,Companion (RA),Natural,Hijaz,Hwshb no identity,حوشب غير منسوب
4304,Companion (RA),Natural,Hijaz,Hwyrth Wald Malik Yqal,حويرث والد مالك يقال
4305,Companion (RA),Natural,Hijaz,Hyan no identity,حيان غير منسوب
4306,Companion (RA),Natural,Hijaz,Hyan Mwla Qrysh,حيان مولى قريش
4307,Companion (RA),Natural,Hijaz,Hyd'h no identity,حيدة غير منسوب
4308,Companion (RA),Natural,Hijaz,Hyr Njrh al-Isra'iyly,حير نجرة الإسرائيلي
4309,Companion (RA),Natural,Hijaz,Harithh bin Sufyan al-Bjly,حارثة بن سفيان البجلي
4310,Companion (RA),Natural,Hijaz,Harithh bin Ubaid al-Klby,حارثة بن عبيد الكلبي
4311,Companion (RA),Natural,Hijaz,Habib bin 'Asim al-Mharby,حبيب بن عاصم المحاربي
4312,Companion (RA),Natural,Hijaz,Hrqws al-Nbry,حرقوص العنبري
4313,Companion (RA),Natural,Hijaz,Hryth bin Mkhfd al-Mazny,حريث بن مخفض المازني
4314,Companion (RA),Natural,Hijaz,Husayn al-Hmdany,حصين الهمداني
4315,Companion (RA),Natural,Hijaz,Husayn al-Jdhamy,حصين الجذامي
4316,Companion (RA),Natural,Hijaz,Hnzlh bin Jwyh al-Knany,حنظلة بن جوية الكناني
4317,Companion (RA),Natural,Hijaz,Hnzlh Wald 'Ali,حنظلة والد علي
4318,Companion (RA),Natural,Hijaz,Hnyf bin 'Umayr al-Yshkry,حنيف بن عمير اليشكري
4319,Companion (RA),Natural,Hijaz,Harithh bin Hram,حارثة بن حرام
4320,Companion (RA),Natural,Hijaz,Hbh bin Habs al-Tamimy,حبة بن حابس التميمي
4321,Companion (RA),Natural,Hijaz,Habib bin Mkhnf al-Ghamdy,حبيب بن مخنف الغامدي
4322,Companion (RA),Natural,Hijaz,Hbysh bin Hdhafh,حبيش بن حذافة
4323,Companion (RA),Natural,Hijaz,Hjaj Wald Qabws,حجاج والد قابوس
4324,Companion (RA),Natural,Hijaz,Hjr bin Rabi'yah bin Wa'il,حجر بن ربيعة بن وائل
4325,Companion (RA),Natural,Hijaz,Hryth Abu Frwh al-Slmy,حريث أبو فروة السلمي
4326,Companion (RA),Natural,Hijaz,Hsl bin Nwyrh al-'Ashj'y,حسل بن نويرة الأشجعي
4327,Companion (RA),Natural,Hijaz,Hsyb Bmwhd'h Msghra,حصيب بموحدة مصغرا
4328,Companion (RA),Natural,Hijaz,Hnzlh no identity,حنظلة غير منسوب
4329,Companion (RA),Natural,Hijaz,Hyan bin Skhr al-Slmy,حيان بن صخر السلمي
4330,Companion (RA),Natural,Hijaz,Kharj bin Khwyld al-K'aby,خارج بن خويلد الكعبي
4331,Companion (RA),Natural,Hijaz,Kharjh bin Aqfan al-Thqfy,خارجة بن عقفان الثقفي
4332,Companion (RA),Natural,Hijaz,Kharjh bin 'Amr al-Jmhy,خارجة بن عمرو الجمحي
4333,Companion (RA),Natural,Hijaz,Khalid bin al-Brsa'a,خالد بن البرصاء
